Наименование работ	Ед.изм.	Кол-во	Цена за ед. без НДС	Сумма без НДС
УСТРОЙСТВО КРОВЕЛЬНОЙ СИСТЕМЫ ИЗ ПВХ-МЕМБРАНЫ				
Устройство пароизоляционного слоя 				
Работы:				
Устройство пароизоляционного слоя из пароизоляционной пленки	м2	1 335,00	100,00 ₽	133 500,00 ₽
Итого за работы:				133 500,00 ₽
Материалы:				
Пароизоляционная пленка ТехноНИКОЛЬ	м2	1535,25		0,00 ₽
Двусторонний скотч	шт	27		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				133 500,00 ₽
Устройство комбинированного теплоизоляционного слоя из МИ + ПИР (в два слоя), общей толщиной 150 мм				
Работы:				
"Устройство комбинированного утеплителя (Минераловатный утеплитель 100 мм + экструдированный пенополистирол - 50 мм)
2 слоя с разбежкой швов, с общей толщиной 150 мм"	м2	1 335,00	300,00 ₽	400 500,00 ₽
Механическое крепление теплоизоляционного слоя	м2	1 335,00	100,00 ₽	133 500,00 ₽
Итого за работы:				534 000,00 ₽
Материалы:				
Минераловатный утеплитель 100 мм	м2	1375,05		0,00 ₽
Экструдированный пенополистирол - 50 мм	м2	1375,05		0,00 ₽
Телескопический крепеж TERMOCLIP 1, 130 мм	шт	6675,00		0,00 ₽
Саморез сверлоконечный ТехноНИКОЛЬ 4,8х60 мм	шт	6675,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				534 000,00 ₽
Устройство гидроизоляционного покрытия из ПВХ-мембраны по плоскости				
Работы:				
Устройство разделительного слоя из стеклохолста	м2	1 335,00	80,00 ₽	106 800,00 ₽
Монтаж гидроизоляционного покрытия из ПВХ мембраны шириной 1 м, с продольным нахлестом не менее 120 мм и поперечным не менее 200 мм по профлисту	м2	1 282,20	400,00 ₽	512 880,00 ₽
Механическое крепление гидроизоляционного слоя	м2	1 335,00	100,00 ₽	133 500,00 ₽
Итого за работы:				753 180,00 ₽
Материалы:				
Стеклохолст	м2	1575,30		0,00 ₽
ПВХ мембрана, толщиной 1,5 мм.	м2	1575,30		0,00 ₽
Телескопический крепеж TERMOCLIP 1, 130 мм	шт	6675,00		0,00 ₽
Саморез сверлоконечный ТехноНИКОЛЬ 4,8х60 мм	шт	6675,00		0,00 ₽
Очиститель для ПВХ мембраны, 3 л.	шт	4,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				753 180,00 ₽
Устройство карнизного свеса и его гидроизоляция				
Работы:				
Монтаж бруса, 100*100	м/п	90,80	600,00 ₽	54 480,00 ₽
Монтаж ПВХ металла	м/п	90,80	200,00 ₽	18 160,00 ₽
Монтаж металлического водосточного желоба	м/п	90,80	185,00 ₽	16 798,00 ₽
Устройство примыкания к карнизному свесу	м/п	90,80	700,00 ₽	63 560,00 ₽
Итого за работы:				152 998,00 ₽
Материалы:				
Брус, 100*100	м/п	99,88		0,00 ₽
Кровельный саморез 6,3*130 мм	шт	454,00		0,00 ₽
Круглый тарельчатый держатель	шт	454,00		0,00 ₽
Водосточный желоб	м/п	99,88		0,00 ₽
Металлический костыль	шт	160,00		0,00 ₽
Оцинкованные анодированные саморезы размером 5×40 мм	шт	640,00		0,00 ₽
ПВХ металл, шириной 150 мм	мп	99,88		0,00 ₽
Саморезы по дереву диаметром 3–4 мм длиной 35 мм	мп	998,80		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				152 998,00 ₽
Устройство заполнения гофр профлиста НГ утеплителем на ширину 250 мм и монтаж  L-образного профиля вдоль парапета				
Работы:				
Устройство заполнения гофр профлиста НГ утеплителем на длину 250 мм (на две продольной волны или 250 мм в каждую волну по поперечным волнам)	м/п	90,80	120,00 ₽	10 896,00 ₽
Устройство L-образного профиля	м/п	90,80	160,00 ₽	14 528,00 ₽
Итого за работы:				25 424,00 ₽
Материалы:				
Изделие (L-образный профиль) из оц. стали толщиной 0,5 мм	м/п	95,34		0,00 ₽
Саморез кровельный 5,5*19 мм	шт	476,70		0,00 ₽
Мин. плита Технолайт Экстра 1200х600х100мм 	м3	3,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				25 424,00 ₽
Устройство гидроизоляции примыканий к парапетам из ПВХ-мембраны на высоту не более 450 мм, с окончанием примыкания через кревую рейку				
Работы:				
Устройство гидроизоляции примыканий к парапетам из ПВХ-мембраны на высоту не более 450 мм, с окончанием примыкания через кревую рейку	м/п	52,80	550,00 ₽	29 040,00 ₽
Итого за работы:				29 040,00 ₽
Материалы:				
Армированная ПВХ мембрана Logicroof V-RP (или аналог) толщиной 1,5 мм	м2	52,80		0,00 ₽
Неармированная ПВХ мембрана V-SR толщиной 1,5 мм 	рул.	2,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				29 040,00 ₽
Устройство прижимной и краевой алюминиевой планки				
Работы:				
Монтаж прижимной и краевой кровельной планки	м/п	105,60	150,00 ₽	15 840,00 ₽
Итого за работы:				15 840,00 ₽
Прижимная кровельная планка алюминиевая 30*2000мм	м/п	105,60		0,00 ₽
Краевая кровельная планка алюминиевая 30*2000мм	м/п	105,60		0,00 ₽
Крепеж кровельный ТехноНИКОЛЬ (саморез 5,5*35)	шт	528,00		0,00 ₽
ПУ герметик	шт	15,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				15 840,00 ₽
Устройство деформационного шва				
Работы:				
Устройство заполнения гофр профлиста НГ утеплителем на длину 250 мм	м/п	181,60	120,00 ₽	21 792,00 ₽
Устройство фасонного элемента	м/п	90,80	160,00 ₽	14 528,00 ₽
Устройство гидроизоляционного слоя	м2	45,40	400,00 ₽	18 160,00 ₽
Итого за работы:				54 480,00 ₽
Материалы:				
Фасонное изделие из оц. стали толщиной 0,5 мм	м/п	95,34		0,00 ₽
Саморез кровельный 5,5*19 мм	шт	953,40		0,00 ₽
Мин. плита Технолайт Экстра 1200х600х100мм 	м3	5,99		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				54 480,00 ₽
Устройство вертикальной водосточной трубы				
Работы:				
Монтаж вертикальной водосточной трубы, 3,7 м	м/п	14,80	600,00 ₽	8 880,00 ₽
Итого за работы:				8 880,00 ₽
Материалы:				
Водосточный желоб	м/п	16,28		0,00 ₽
Отводы  для водосточного желоба 	шт	8,00		0,00 ₽
Сливное колено	шт	4,00		0,00 ₽
Хомут для крепления водосточной трубы к стене	шт	16,00		0,00 ₽
Крепежный элемент для хомута (крепление к стене)	шт	16,00		0,00 ₽
Оцинкованные анодированные саморезы размером 5×40 мм	шт	40,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				8 880,00 ₽
ИТОГО по Разделам монтажные работы кровля из ПВХ-мембраны:				1 707 342,00 ₽
ИТОГО по Разделам материалы:				0,00 ₽
Накладные, транспортные, организационные и утилизационные расходы:				
Организационные и транспортные расходы:	ед	1,00	70 000,00 ₽	70 000,00 ₽
Подъемы и механизмы:	ед	3,00	30 000,00 ₽	90 000,00 ₽
Вывоз мусора 	ед	2,00	16 000,00 ₽	32 000,00 ₽
ИТОГО по Разделам накладные, транспортные, организационные и утилизационные расходы:				192 000,00 ₽
Итого общая сумма по всем разделам:				1 899 342,00 ₽


Наименование работ. Кровля из БРМ	Ед.изм.	Кол-во	Цена за ед	Сумма
Подготовительные работы.				
Работы:				
Подготовка поверхности (зачистка поверхности, удаление наплывов, обеспыливание )	м2	303,78	50,00 ₽	15 189,00 ₽
Итого за работы:				15 189,00 ₽
ИТОГО по Разделу:				15 189,00 ₽
Устройство наплавляемой пароизоляции.				
Работы:				
Нанесение праймера в 1 слой. Плоскость и парапет	м2	337,63	80,00 ₽	27 010,24 ₽
Монтаж пароизоляции в 1 слой	м2	273,37	270,00 ₽	73 809,36 ₽
Итого за работы:				100 819,60 ₽
Материалы:				
Газ пропан	л	128,48	38,00 ₽	4 882,35 ₽
Итого за материалы:				4 882,35 ₽
ИТОГО по Разделу:				105 701,95 ₽
Устройство утеплителя 150 мм.				
Работы:				
Устройство утеплителя в 3 слоя с пропениванием швов, перехлестом, толщиной 150мм.	м2	239,34	400,00 ₽	95 736,00 ₽
Итого за работы:				95 736,00 ₽
ИТОГО по Разделу:				95 736,00 ₽
Устройство полусухой стяжки с разуклонкой 1%				
Работы:				
Устройство армированной стяжки (армирование фиброй), уклон 1% + контруклон	м2	303,78	1 200,00 ₽	364 536,00 ₽
Итого за работы:				364 536,00 ₽
Материалы:				
Песок, цемент М-500, фибра, пленка	кг	109 360,80	2,80 ₽	306 210,24 ₽
Итого за материалы:				306 210,24 ₽
ИТОГО по Разделу:				670 746,24 ₽
Устройство бортика из цементно-песчаного раствора М 150.				
Работы:				
Устройство бортика (галтель)	м.п	169,24	350,00 ₽	59 234,00 ₽
Итого за работы:				59 234,00 ₽
Материалы:				
Раствор цементно-песчаный М150	м3	0,89	9 000,00 ₽	7 996,59 ₽
Итого за материалы:				7 996,59 ₽
ИТОГО по Разделу:				67 230,59 ₽
Нанесение праймера в 1 слой. Плоскость и парапет.				
Работы:				
Нанесение праймера	м2	388,40	80,00 ₽	31 072,00 ₽
Итого за работы:				31 072,00 ₽
ИТОГО по Разделу:				31 072,00 ₽
Устройство гидроизоляционного слоя кровли из битумосодержащего рулонного материала.				
Работы:				
Монтаж гидроизоляционного покрытия из полимеро-битумного наплавляемого материала в 2 слоя 	м2	239,34	540,00 ₽	129 243,60 ₽
Итого за работы:				129 243,60 ₽
Материалы:				
Газ пропан	л.	224,98	38,00 ₽	8 549,22 ₽
Итого за материалы:				8 549,22 ₽
ИТОГО по Разделу:				137 792,82 ₽
Устройство гидроизоляционного слоя кровли из битумосодержащего рулонного материала на фундаментах под оборудование. 				
Работы:				
Монтаж гидроизоляционного покрытия из полимеро-битумного наплавляемого материала в 2 слоя 	м2	64,44	600,00 ₽	38 664,00 ₽
Итого за работы:				38 664,00 ₽
Материалы:				
Газ пропан	л.	60,57	38,00 ₽	2 301,80 ₽
Итого за материалы:				2 301,80 ₽
ИТОГО по Разделу:				40 965,80 ₽
Устройство гидроизоляции примыканий к фундаментам под оборудование высотой до 500 мм  из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов.  	м/п	64,06	150,00	9 609,00 ₽
Монтаж гидроизоляции примыканий к фундаментам под оборудование высотой до 500 мм из полимеро-битумного наплавляемого материала в два слоя.	м/п	64,06	700,00 ₽	44 842,00 ₽
Итого за работы:				54 451,00 ₽
Материалы:				
Газ пропан	л.	69,07	38,00 ₽	2 624,53 ₽
Итого за материалы:				2 624,53 ₽
ИТОГО по Разделу:				57 075,53 ₽
Устройство примыкания гидроизоляции к стенам, вент. проходам и выходу на кровлю высотой до 500 мм из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов.  	м/п	50,77	150,00	7 615,50 ₽
Монтаж гидроизоляции к стенам, вент. проходам и выходу на кровлю высотой до 500 мм из полимеро-битумного наплавляемого материала в два слоя.	м/п	50,77	700,00 ₽	35 539,00 ₽
Итого за работы:				43 154,50 ₽
Материалы:				
Газ пропан	л.	54,32	38,00 ₽	2 064,31 ₽
Итого за материалы:				2 064,31 ₽
ИТОГО по Разделу:				45 218,81 ₽
Устройство краевой алюминиевой планки.				
Работы:				
Монтаж краевой кровельной планки	м/п	50,77	200,00 ₽	10 154,00 ₽
Итого за работы:				10 154,00 ₽
ИТОГО по Разделу:				10 154,00 ₽
Устройство примыкания гидроизоляции по оси А/1-7 до 500 мм из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов.  	м/п	37,20	150,00	5 580,00 ₽
Монтаж примыкания гидроизоляции по оси А/1-7 до 500 мм из полимеро-битумного наплавляемого материала в два слоя.	м/п	37,20	800,00 ₽	29 760,00 ₽
Итого за работы:				35 340,00 ₽
Материалы:				
Газ пропан	л.	39,80	38,00 ₽	1 512,55 ₽
Итого за материалы:				1 512,55 ₽
ИТОГО по Разделу:				36 852,55 ₽
Устройство и гидроизоляции деформационного шва по оси В-Г/1-7 до 500 мм из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов.  	м/п	36,20	150,00	5 430,00 ₽
Монтаж гидроизоляции деформационного шва по оси В-Г/1-7 до 500 мм из полимеро-битумного наплавляемого материала в два слоя.	м/п	36,20	3 000,00 ₽	108 600,00 ₽
Итого за работы:				114 030,00 ₽
Материалы:				
Газ пропан	л.	38,73	38,00 ₽	1 471,89 ₽
Итого за материалы:				1 471,89 ₽
ИТОГО по Разделу:				115 501,89 ₽
Устройство водоприемных воронок.				
Работы:				
Монтаж  воронок с обогревом	шт	3,00	2 500,00 ₽	7 500,00 ₽
Алмазное бурение	ед.изм.	1,00	20 000,00 ₽	20 000,00 ₽
Итого за работы:				27 500,00 ₽
ИТОГО по Разделу:				27 500,00 ₽
				
ИТОГО по Разделам монтажные работы кровля из БРМ				1 119 123,70 ₽
ИТОГО по Разделам материалы кровля из БРМ				337 613,48 ₽
Общая сумма по разделам:				1 456 737,18 ₽
Организационные расходы (доставка + накладные + подъемы и механизмы):				20 000,00 ₽
Утилизация строительного мусора (складируем на территории Заказчика):				15 000,00 ₽
Итого общая сумма по всем разделам:				1 491 737,18 ₽


Данные крыши: Суммарная площадь кровель = 400 м2, Примыкания к парапету и вертикальным конструкциям = 80 пог.м., Водоотведение парапетное = 4 шт., Аэраторы = 4 шт. 				
				
Наименование работ. Кровля из БРМ	Ед.изм.	Кол-во	Цена за ед. (с НДС-20%)	Сумма (с НДС-20%)
Подготовительные работы.				
Работы:				
Подготовка поверхности (зачистка поверхности, удаление наплывов, обеспыливание )	м2	400,00	100,00 ₽	40 000,00 ₽
Итого за работы:				40 000,00 ₽
ИТОГО по Разделу:				40 000,00 ₽
Устройство наплавляемой пароизоляции.				
Работы:				
Нанесение праймера в 1 слой. Плоскость и парапет	м2	416,00	80,00 ₽	33 280,00 ₽
Монтаж пароизоляции в 1 слой	м2	416,00	270,00 ₽	112 320,00 ₽
Итого за работы:				145 600,00 ₽
Материалы:				
Праймер ТехноНиколь 01, 20 л	шт	6,00	4 715,55 ₽	28 293,30 ₽
Биполь ЭПП	м2	478,40	301,05 ₽	144 022,32 ₽
Газ пропан	л	195,52	49,00 ₽	9 580,48 ₽
Итого за материалы:				181 896,10 ₽
ИТОГО по Разделу:				327 496,10 ₽
Устройство утеплителя 100 мм.				
Работы:				
Устройство утеплителя в 2 слоя с пропениванием швов, перехлестом, толщиной 100мм.	м2	400,00	280,00 ₽	112 000,00 ₽
Итого за работы:				112 000,00 ₽
Материалы:				
Экструзионный пенополистирол XPS Carbon 50 мм	мЗ	40,80	8 800,00 ₽	359 040,00 ₽
Клей пена ТН	шт	10,00	800,00 ₽	8 000,00 ₽
Итого за материалы:				367 040,00 ₽
ИТОГО по Разделу:				479 040,00 ₽
Устройство полусухой стяжки с разуклонкой				
Работы:				
Устройство армированной стяжки (армирование фиброй), уклон 1% + контруклон	м2	400,00	800,00 ₽	320 000,00 ₽
Итого за работы:				320 000,00 ₽
Материалы:				
Песок, цемент М-500, фибра, пленка	шт	1,00	240 000,00 ₽	240 000,00 ₽
Итого за материалы:				240 000,00 ₽
ИТОГО по Разделу:				560 000,00 ₽
Устройство бортика из цементно-песчаного раствора М 150.				
Работы:				
Устройство бортика (галиель)	м.п	80,00	250,00 ₽	20 000,00 ₽
Итого за работы:				20 000,00 ₽
Материалы:				
Раствор цементно-песчаный М150	м3	0,42	9 000,00 ₽	3 780,00 ₽
Итого за материалы:				3 780,00 ₽
ИТОГО по Разделу:				23 780,00 ₽
Нанесение праймера в 1 слой. Плоскость и парапет.				
Работы:				
Нанесение праймера	м2	400,00	80,00 ₽	32 000,00 ₽
Итого за работы:				32 000,00 ₽
Материалы:				
Праймер ТехноНиколь 01, 20 л	шт	6,00	4 715,55 ₽	28 293,30 ₽
Итого за материалы:				28 293,30 ₽
ИТОГО по Разделу:				60 293,30 ₽
Устройство гидроизоляционного слоя кровли из битумосодержащего рулонного материала.				
Работы:				
Монтаж гидроизоляционного покрытия из полимеро-битумного наплавляемого материала в 2 слоя 	м2	400,00	540,00 ₽	216 000,00 ₽
Итого за работы:				216 000,00 ₽
Материалы:				
Унифлекс ЭКП (2ой слой)	м2	464,00	399,29 ₽	185 270,56 ₽
Унифлекс ЭПП (1ый слой)	м2	464,00	346,36 ₽	160 711,04 ₽
Газ пропан	л.	376,00	49,00 ₽	18 424,00 ₽
Итого за материалы:				364 405,60 ₽
ИТОГО по Разделу:				580 405,60 ₽
Устройство примыкания гидроизоляции к стене высотой до 500 мм из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов.  	м/п	80,00	150,00	12 000,00 ₽
Монтаж гидроизоляционного покрытия на парапеты (и вент. шахты) до 500 мм из из полимеро-битумного наплавляемого материала в два слоя.	м/п	80,00	700,00 ₽	56 000,00 ₽
Итого за работы:				68 000,00 ₽
Материалы:				
Унифлекс ЭКП (2ой слой)	м2	76,80	399,29 ₽	30 665,47 ₽
Унифлекс ЭПП (1ый слой)	м2	86,40	346,36 ₽	29 925,50 ₽
Газ пропан	л.	15,73	49,00 ₽	770,58 ₽
Итого за материалы:				61 361,56 ₽
ИТОГО по Разделу:				129 361,56 ₽
Устройство краевой алюминиевой планки.				
Работы:				
